Day,Route,Time,Estimated Buses Required
1,255-c,5.0,40
1,255-c,5.5,43
1,255-c,6.0,42
1,255-c,6.5,41
1,255-c,7.0,119
1,255-c,7.5,119
1,255-c,8.0,118
1,255-c,8.5,128
1,255-c,9.0,124
1,255-c,9.5,126
1,255-c,10.0,62
1,255-c,10.5,69
1,255-c,11.0,68
1,255-c,11.5,64
1,255-c,12.0,64
1,255-c,12.5,64
1,255-c,13.0,64
1,255-c,13.5,66
1,255-c,14.0,65
1,255-c,14.5,64
1,255-c,15.0,66
1,255-c,15.5,63
1,255-c,16.0,112
1,255-c,16.5,113
1,255-c,17.0,114
1,255-c,17.5,118
1,255-c,18.0,111
1,255-c,18.5,115
1,255-c,19.0,116
1,255-c,19.5,110
1,255-c,20.0,58
1,255-c,20.5,56
1,255-c,21.0,55
1,255-c,21.5,60
1,255-c,22.0,60
1,255-c,22.5,59
1,114.0-A,5.0,29
1,114.0-A,5.5,29
1,114.0-A,6.0,31
1,114.0-A,6.5,30
1,114.0-A,7.0,87
1,114.0-A,7.5,90
1,114.0-A,8.0,86
1,114.0-A,8.5,94
1,114.0-A,9.0,88
1,114.0-A,9.5,91
1,114.0-A,10.0,47
1,114.0-A,10.5,48
1,114.0-A,11.0,48
1,114.0-A,11.5,46
1,114.0-A,12.0,50
1,114.0-A,12.5,49
1,114.0-A,13.0,50
1,114.0-A,13.5,50
1,114.0-A,14.0,48
1,114.0-A,14.5,50
1,114.0-A,15.0,46
1,114.0-A,15.5,47
1,114.0-A,16.0,80
1,114.0-A,16.5,83
1,114.0-A,17.0,83
1,114.0-A,17.5,82
1,114.0-A,18.0,87
1,114.0-A,18.5,83
1,114.0-A,19.0,82
1,114.0-A,19.5,84
1,114.0-A,20.0,40
1,114.0-A,20.5,43
1,114.0-A,21.0,40
1,114.0-A,21.5,44
1,114.0-A,22.0,43
1,114.0-A,22.5,41
1,114.0-C,5.0,50
1,114.0-C,5.5,54
1,114.0-C,6.0,54
1,114.0-C,6.5,54
1,114.0-C,7.0,162
1,114.0-C,7.5,151
1,114.0-C,8.0,155
1,114.0-C,8.5,151
1,114.0-C,9.0,163
1,114.0-C,9.5,159
1,114.0-C,10.0,83
1,114.0-C,10.5,80
1,114.0-C,11.0,82
1,114.0-C,11.5,83
1,114.0-C,12.0,86
1,114.0-C,12.5,85
1,114.0-C,13.0,87
1,114.0-C,13.5,84
1,114.0-C,14.0,81
1,114.0-C,14.5,86
1,114.0-C,15.0,86
1,114.0-C,15.5,85
1,114.0-C,16.0,151
1,114.0-C,16.5,147
1,114.0-C,17.0,147
1,114.0-C,17.5,146
1,114.0-C,18.0,140
1,114.0-C,18.5,141
1,114.0-C,19.0,140
1,114.0-C,19.5,149
1,114.0-C,20.0,72
1,114.0-C,20.5,74
1,114.0-C,21.0,76
1,114.0-C,21.5,72
1,114.0-C,22.0,73
1,114.0-C,22.5,75
1,201.0-N,5.0,33
1,201.0-N,5.5,33
1,201.0-N,6.0,33
1,201.0-N,6.5,33
1,201.0-N,7.0,106
1,201.0-N,7.5,105
1,201.0-N,8.0,103
1,201.0-N,8.5,106
1,201.0-N,9.0,105
1,201.0-N,9.5,99
1,201.0-N,10.0,57
1,201.0-N,10.5,55
1,201.0-N,11.0,56
1,201.0-N,11.5,57
1,201.0-N,12.0,53
1,201.0-N,12.5,52
1,201.0-N,13.0,53
1,201.0-N,13.5,54
1,201.0-N,14.0,56
1,201.0-N,14.5,56
1,201.0-N,15.0,52
1,201.0-N,15.5,54
1,201.0-N,16.0,94
1,201.0-N,16.5,93
1,201.0-N,17.0,92
1,201.0-N,17.5,94
1,201.0-N,18.0,99
1,201.0-N,18.5,94
1,201.0-N,19.0,95
1,201.0-N,19.5,97
1,201.0-N,20.0,47
1,201.0-N,20.5,50
1,201.0-N,21.0,50
1,201.0-N,21.5,46
1,201.0-N,22.0,48
1,201.0-N,22.5,47
1,201.0-R,5.0,35
1,201.0-R,5.5,34
1,201.0-R,6.0,36
1,201.0-R,6.5,36
1,201.0-R,7.0,103
1,201.0-R,7.5,106
1,201.0-R,8.0,112
1,201.0-R,8.5,105
1,201.0-R,9.0,104
1,201.0-R,9.5,108
1,201.0-R,10.0,60
1,201.0-R,10.5,56
1,201.0-R,11.0,59
1,201.0-R,11.5,59
1,201.0-R,12.0,56
1,201.0-R,12.5,59
1,201.0-R,13.0,57
1,201.0-R,13.5,58
1,201.0-R,14.0,58
1,201.0-R,14.5,58
1,201.0-R,15.0,55
1,201.0-R,15.5,60
1,201.0-R,16.0,99
1,201.0-R,16.5,98
1,201.0-R,17.0,96
1,201.0-R,17.5,102
1,201.0-R,18.0,103
1,201.0-R,18.5,96
1,201.0-R,19.0,101
1,201.0-R,19.5,98
1,201.0-R,20.0,51
1,201.0-R,20.5,49
1,201.0-R,21.0,51
1,201.0-R,21.5,50
1,201.0-R,22.0,53
1,201.0-R,22.5,49
1,210.0-G,5.0,29
1,210.0-G,5.5,28
1,210.0-G,6.0,30
1,210.0-G,6.5,30
1,210.0-G,7.0,85
1,210.0-G,7.5,88
1,210.0-G,8.0,90
1,210.0-G,8.5,87
1,210.0-G,9.0,87
1,210.0-G,9.5,85
1,210.0-G,10.0,45
1,210.0-G,10.5,48
1,210.0-G,11.0,48
1,210.0-G,11.5,47
1,210.0-G,12.0,46
1,210.0-G,12.5,46
1,210.0-G,13.0,47
1,210.0-G,13.5,48
1,210.0-G,14.0,48
1,210.0-G,14.5,48
